course_code,course_name,professor,is_online
PRI4001-01,미적분학및연습1,문환표,True
PRI4001-02,미적분학및연습1,박장희,False
PRI4002-01,일반물리학및실험1,이동화,False
PRI4012-01,미적분학및연습2,엄건애,False
PRI4012-02,미적분학및연습2,최광호,False
PRI4012-03,미적분학및연습2,임영빈,False
PRI4012-04,미적분학및연습2,심호진,False
PRI4012-05,미적분학및연습2,김동호,False
PRI4012-06,미적분학및연습2,엄건애,False
PRI4012-07,미적분학및연습2,임영빈,False
PRI4012-08,미적분학및연습2,박장희,False
PRI4012-09,미적분학및연습2,박정준,False
PRI4012-10,미적분학및연습2,박상웅,False
PRI4012-11,미적분학및연습2,임영빈,False
PRI4012-12,미적분학및연습2,권기운,False
PRI4012-13,미적분학및연습2,박호,False
PRI4012-14,미적분학및연습2,박정준,False
PRI4012-15,미적분학및연습2,임영빈,False
PRI4012-16,미적분학및연습2,조영덕,False
PRI4012-17,미적분학및연습2,박호,False
PRI4012-18,미적분학및연습2,오승익,False
PRI4012-19,미적분학및연습2,조영덕,False
PRI4012-20,미적분학및연습2,박호,False
PRI4012-21,미적분학및연습2,박정준,False
PRI4013-01,일반물리학및실험2,정권범,False
PRI4013-02,일반물리학및실험2,양우철,False
PRI4013-03,일반물리학및실험2,김선배,False
PRI4013-04,일반물리학및실험2,곽동욱,False
PRI4013-05,일반물리학및실험2,손정인,False
PRI4013-06,일반물리학및실험2,이원철,False
PRI4013-07,일반물리학및실험2,박경원,False
PRI4013-08,일반물리학및실험2,김순구,False
PRI4013-09,일반물리학및실험2,이동화,False
PRI4013-10,일반물리학및실험2,오형택,False
PRI4013-11,일반물리학및실험2,류영선,False
PRI4013-12,일반물리학및실험2,권상우,False
PRI4013-13,일반물리학및실험2,류승윤,False
PRI4014-01,일반화학및실험2,김갑수,False
PRI4014-02,일반화학및실험2,임재희,False
PRI4014-03,일반화학및실험2,유미경,False
PRI4014-04,일반화학및실험2,김갑수,False
PRI4014-05,일반화학및실험2,김갑수,False
PRI4014-06,일반화학및실험2,이길선,False
PRI4014-07,일반화학및실험2,윤성욱,False
PRI4015-01,일반생물학및실험2,이보영,False
PRI4015-02,일반생물학및실험2,정상민,False
PRI4015-04,일반생물학및실험2,조선희,False
PRI4016-01,일반통계학및실습2,정선,False
PRI4021-01,대학생물학및실험2,정상민,False
PRI4021-02,대학생물학및실험2,정상민,False
PRI4021-03,대학생물학및실험2,변지희,False
PRI4021-04,대학생물학및실험2,방석영,False
PRI4021-05,대학생물학및실험2,변지희,False
PRI4022-01,대학통계학및실습2,안홍엽,False
PRI4023-01,확률및통계학,김희경,False
PRI4023-02,확률및통계학,정선,False
PRI4023-03,확률및통계학,곽화륜,False
PRI4023-04,확률및통계학,곽화륜,False
PRI4023-05,확률및통계학,최은희,False
PRI4023-06,확률및통계학,최은희,False
PRI4024-01,공학선형대수학,연미정,False
PRI4024-02,공학선형대수학,송윤애,False
PRI4024-03,공학선형대수학,송윤애,False
PRI4024-04,공학선형대수학,조영덕,False
PRI4025-01,공학수학1,조영덕,False
PRI4025-02,공학수학1,최광호,False
PRI4025-03,공학수학1,김동호,False
PRI4025-04,공학수학1,조범규,False
PRI4027-01,이산수학,김동우,False
PRI4027-02,이산수학,선석규,False
PRI4028-01,생물학개론,이보영,False
PRI4028-02,생물학개론,한미희,False
PRI4028-03,생물학개론,조선희,False
PRI4028-04,생물학개론,이재영,False
PRI4028-05,생물학개론,이보영,False
PRI4029-01,물리학개론,오형택,False
PRI4029-02,물리학개론,김선배,False
PRI4029-03,물리학개론,이원철,False
PRI4030-01,화학개론,임재희,False
PRI4030-02,화학개론,문혜영,False
PRI4030-03,화학개론,유미경,False
PRI4030-04,화학개론,이종혁,False
PRI4030-05,화학개론,조현진,False
PRI4033-01,지구환경과학,조봉연,False
PRI4033-02,지구환경과학,조봉연,False
PRI4035-01,프로그래밍기초와실습,홍성옥,False
PRI4035-02,프로그래밍기초와실습,홍성옥,False
PRI4035-04,프로그래밍기초와실습,정화용,False
PRI4035-05,프로그래밍기초와실습,정화용,False
PRI4035-06,프로그래밍기초와실습,김경자,False
PRI4035-07,프로그래밍기초와실습,안영아,False
PRI4039-02,인터넷프로그래밍,장은실,False
PRI4039-03,인터넷프로그래밍,장은실,False
PRI4041-01,공학경제,전성범,False
PRI4041-02,공학경제,서용윤,False
PRI4041-03,공학경제,홍성조,False
PRI4041-04,공학경제,백정우,False
PRI4041-05,공학경제,김상직,False
PRI4046-01,기초수학(인문),송윤애,False
PRI5002-01,TOEIC영어,양창헌,False
PRI5002-02,TOEIC영어,박소영,False
PRI5002-03,TOEIC영어,정원일,False
PRI5002-04,TOEIC영어,이광임,False
PRI5002-05,TOEIC영어,김효식,False
PRI5002-06,TOEIC영어,정승원,False
PRI5016-01,Academic Reading and Discussion,데미안,False
PRI5016-02,Academic Reading and Discussion,데미안,False
PRI5017-01,Academic Listening and Discussion,베리웰시,False
PRI5017-02,Academic Listening and Discussion,베리웰시,False
PRI5051-01,시사영어,방찬혁,False
PRI5073-01,CurrentIssuesandDiscussion,쟌아다마,False
PRI5073-02,CurrentIssuesandDiscussion,쟌아다마,False
PRI5076-01,BusinessWriting,에이미우,False
PRI5076-03,BusinessWriting,에이미우,False
PRI5079-01,EnglishConversation3,마크존슨,False
PRI5080-01,EnglishConversation4,콜린캠벨,False
PRI5081-01,중국어(초급),박석홍,False
PRI5081-04,중국어(초급),정겨울,False
PRI5081-05,중국어(초급),양선혜,False
PRI5081-06,중국어(초급),박은석,False
PRI5081-07,중국어(초급),조영경,False
PRI5081-08,중국어(초급),김순진,False
PRI5082-01,중국어(중급),김화진,False
PRI5083-01,일본어(초급),김지혜,False
PRI5083-02,일본어(초급),김연진,False
PRI5083-03,일본어(초급),신우진,False
PRI5083-04,일본어(초급),민건기,False
PRI5083-05,일본어(초급),신지연,False
PRI5083-06,일본어(초급),하소정,False
PRI5083-07,일본어(초급),오채현,False
PRI5083-08,일본어(초급),김경민,False
PRI5083-09,일본어(초급),하채령,False
PRI5083-10,일본어(초급),신은화,False
PRI5083-11,일본어(초급),박정원,False
PRI5083-12,일본어(초급),최지수,False
PRI5084-01,일본어(중급),고쿠쇼카즈미,False
PRI5085-01,독일어(초급),박세미,False
PRI5085-02,독일어(초급),이상욱,False
PRI5087-01,불어(초급),임민지,False
PRI5087-02,불어(초급),임민지,False
PRI5089-01,러시아어(초급),김연수,False
PRI5089-02,러시아어(초급),김연수,False
PRI5091-01,스페인어(초급),정민정,False
PRI5091-02,스페인어(초급),정민정,False
PRI5092-01,스페인어(중급),정민정,False
PRI5093-01,아랍어(초급),이동은,False
PRI5093-02,아랍어(초급),이동은,False
PRI5095-02,교양한문,최진영,False
PRI5095-03,교양한문,이주영,False
PRI5095-04,교양한문,정난영,False
PRI5095-05,교양한문,최진경,False
PRI5095-06,교양한문,민희주,False
PRI5095-07,교양한문,심혜경,False
PRI5095-08,교양한문,박성호,False
PRI5095-09,교양한문,최진영,False
PRI5096-01,라틴어(초급),손윤락,False
PRI5097-01,OPIc,마크존슨,False
PRI5099-01,TOPIK,백수혜,False
PRI5099-02,TOPIK,백수혜,False
EGC1100-01,금서의문화사,김일환,False
EGC1102-01,역사학과빅데이터,김택경,False
EGC1105-01,만해한용운:함께길을걷다,김진병,False
EGC1106-01,심리학의거장을만나다:인간의생각에대한이해,정지아,False
EGC1108-01,인공지능윤리,박진희,False
EGC1109-01,지상의모든심리,김성규,False
EGC1109-02,지상의모든심리,김성규,False
EGC1110-01,오랑캐의세계사:동아시아에서동부유라시아로,남민구,False
EGC1111-01,"동부유라시아와한국,갈등과교류의역사",이승호,False
EGC1112-01,동국의역사와인물,윤재웅,True
EGC1112-02,동국의역사와인물,윤재웅,True
EGC1113-01,물품의글로벌히스토리,임경준,False
EGC1114-01,LanguageAndMind,윤영도,False
EGC2049-01,만해와근대지성,김광식,False
EGC2050-01,근현대고승열전,김광식,False
EGC2065-01,글로벌한국사,노대환,False
EGC2065-02,글로벌한국사,신경미,False
EGC2065-03,글로벌한국사,김진우,False
EGC2067-01,삶과죽음의철학,김명식,False
EGC2067-02,삶과죽음의철학,황인욱,False
EGC2071-01,"한미관계,협력과갈등의이중주",황교성,False
EGC2081-01,21세기생명생태철학,김종욱(일초),False
EGC2084-01,오리엔탈리즘과불교,황순일(보성),False
EGC2086-01,대학과청년문화,조은애,False
EGC2087-01,세계문학속의인권,김문정,False
EGC2095-01,글로벌에콜로지컬히스토리,양홍석,False
EGC2108-01,일본한자음쉽게이해하기,이경철,True
EGC2110-01,동아시아의역사와문화,서용석,False
EGC2111-01,인간과로봇의공존시대,허남결(월인(月印)),False
EGC2112-01,한국문화낯설게보기,남근우,False
EGC2113-01,현대페미니즘의이해,김윤경,False
EGC2116-01,불교와스토리텔링,우제선,False
EGC2117-01,동유라시아 세계 물품의 문명·문화사,김택경,False
EGC2118-01,이야기와 노래,김일환,False
EGC2119-01,지도 위의 문학,정환국,False
EGC2121-01,시와예술적상상력,박형준,False
EGC2123-01,인간에 관하여,박영식,False
EGC2123-02,인간에 관하여,황인욱,False
EGC2125-01,교유와 치유의 한시감상,박성호,False
EGC2127-01,영어권문화상품탐방,노헌균,False
EGC3056-01,4차산업혁명과보건의료산업,우재현,False
EGC8013-01,시사한국어1,홍진선,False
EGC8013-02,시사한국어1,백수혜,False
EGC8014-01,시사한국어2,홍진선,False
EGC8014-02,시사한국어2,권미경,False
EGC9006-01,인도불교이야기,황순일(보성),True
EGC9008-01,중국문자의이해,박석홍,True
EGC9012-01,그리스문학과신화이야기,손윤락,True
EGC9013-01,서구문학에나타난문제적인간읽기,정윤길,True
GCR2002-01,행복학의인문학적문제들,김진선,False
GCR2004-01,현대요가와자기이해,심준보(무설),False
EGC3028-01,인터넷정책과법,임규철,False
EGC3037-01,정보기술의이해,김인재,True
EGC3038-01,종교와법,고기복,False
EGC3038-02,종교와법,고기복,False
EGC3039-01,인권의이해,고기복,False
EGC3039-02,인권의이해,고기복,False
EGC3041-01,영문학속의AI,노헌균,True
EGC3045-01,광고홍보의이해,안정용,False
EGC3046-01,오페라속범죄학,부민서,False
EGC3051-01,대학생을위한실용금융,박한구,False
EGC3057-01,연애학개론,장재숙,False
EGC3059-01,기업운영의기초:수요와공급의균형,정욱,True
EGC3061-01,소비인사이트,조소연,False
EGC3063-01,"나의 생각 : 나와 타인, 사회에 대한 인지",정지아,False
EGC3064-01,자녀와 소통하는 훈련중심 예비부모교육,전미경,False
EGC3065-01,포스트 코로나 시대와 일본의 서브컬처,이현승,False
EGC3068-01,주제와 이슈로 돌아보는 세계,김태석,False
EGC3070-01,여행지리와도시산책,양병윤,False
EGC3071-01,"한일관계의과거,현재그리고미래",김태진,False
EGC3073-01,에너지산업과시장읽기,김유원,False
EGC7026-01,기술창조와특허,오승택,False
EGC7026-02,기술창조와특허,오승택,False
EGC7026-03,기술창조와특허,이용태,False
EGC7026-04,기술창조와특허,이용태,False
EGC7026-05,기술창조와특허,임중연,False
EGC7026-06,기술창조와특허,임중연,False
EGC7026-07,기술창조와특허,백성호,False
EGC9020-01,대중음악속의경제학개론,지인엽,False
EGC9021-01,비즈니스인텔리전스,김경재,True
EGC9022-01,사람의마음알기(나는너의마음을알고싶다),조영일,True
EGC9023-01,"세상을이해하는도구,통계",조영일,True
GCR3002-01,동남아시아와불교문화,김진영,False
EGC4018-01,환경과탄소,강규영,False
EGC4023-01,인간과우주,이관수,False
EGC4024-01,건강한삶을위한식생활,금나나,False
EGC4027-01,숲에서찾는바이오나노재료의이해,김대영,True
EGC4028-01,노벨상으로보는생명이야기,성정석,True
EGC4029-01,알기쉬운반도체,김현석,True
EGC4030-01,성의과학,이태희,False
EGC4034-01,4차 산업혁명과 5G 무선통신,황승훈,True
EGC4035-01,사람을 위한 미생물에 의한 미생물의 환경공정,조시경,True
EGC4039-01,공학윤리,문재태,False
EGC4039-02,공학윤리,문재태,False
EGC4039-03,공학윤리,박진희,True
EGC4040-01,인공지능프로그래밍기초와실습,김윤선,False
EGC4040-02,인공지능프로그래밍기초와실습,윤성림,False
EGC4040-03,인공지능프로그래밍기초와실습,김윤선,False
EGC4040-04,인공지능프로그래밍기초와실습,김동환,False
EGC4042-01,태양계와외계행성,이관수,False
EGC7096-01,파이썬프로그래밍기초,강호석,False
EGC7096-02,파이썬프로그래밍기초,강호석,False
EGC9005-01,컴퓨터알고리즘의이해,정진우,True
EGC9007-01,로봇프로그래밍의세계,곽문규,True
EGC9009-01,집합과수의세계로의초대,이한주,True
EGC9011-01,과학기술과사회,강윤재,True
GCR4003-01,현대자연과학과미래사회,조훈영,False
EGC7006-01,골프,민나온,False
EGC7006-02,골프,이연정,False
EGC7009-01,댄스스포츠,홍인화,False
EGC7012-01,배드민턴,방은혜,False
EGC7014-01,농구,이호근,False
EGC7015-01,호신술,김만근,False
EGC7015-02,호신술,김만근,False
EGC7017-01,태권도,이상현,False
EGC7067-01,음악즐기기,이정화,False
EGC7071-01,부조리문학,방찬혁,False
EGC7072-01,영화로만나는패션,김희라,False
EGC7082-01,사진이미지와표현,최수정,False
EGC7086-01,연기와창의적사고,김영윤,False
EGC7086-02,연기와창의적사고,진창주,False
EGC7086-03,연기와창의적사고,이종민,False
EGC7088-01,"작곡실습,소리를통한가능성",김정민,False
EGC7098-01,실전축구초급,안효연,False
EGC7099-01,실전농구초급,이호근,False
EGC7100-01,실전야구초급,김희상,False
EGC7101-01,요가&필라테스,임주미,False
EGC7101-02,요가&필라테스,임주미,False
EGC7102-01,스포츠산업의 변화와 이노베이션,이제승,False
EGC7105-01,패션그리고미술관,김희라,False
EGC7106-01,방송댄스,문연주,False
EGC7108-01,치유로서의미술,유미,False
EGC7109-01,영화속클래식음악,이정화,False
EGC9003-01,예술과경영의만남,정달영,True
GCR7001-01,세계음식의문화적이해,이심열,False
