date, title, content
2023.03.02.,개강,개강
2023.03.03. ~ 2023.03.08.,수강신청 확인 및 정정,(주관부서 : 일반대학원)
2023.03.03. ~ 2023.03.08.,수강신청 확인 및 정정,(주관부서 :교무팀)
2023.03.04.,"대학원 외국어(영어, 한국어) 시험일",(주관부서 : 일반대학원)
2023.03.07. ~ 2023.03.10.,2023-1학기 휴학 신청 (2차),(주관부서 : 교무팀/일반대학원)
2023.03.10.,2023-1학기 학교현장실습 오리엔테이션,(주관부서 :사범대학 교직부)
2023.03.14. ~ 2023.03.16.,취득교과목 학점포기 신청,(주관부서 : 교무팀)
2023.03.20. ~ 2023.03.22.,대학원 학위청구논문 초록신청,(주관부서 : 일반대학원)
2023.03.22. ~ 2023.03.24.,복수∙연계∙융합전공 포기 신청,(주관부서 : 교무팀)
2023.03.22. ~ 2023.03.24.,수강신청교과목 취소,(주관부서 : 교무팀)
2023.03.22. ~ 2023.03.24.,교직복수(연계)전공 포기신청,(주관부서 : 사범대학 교직부)
2023.03.22. ~ 2023.03.24.,2023-1학기 휴학 신청(3차),(주관부서 : 교무팀/일반대학원)
2023.03.22. ~ 2023.03.24.,조기졸업 신청,(주관부서 : 교무팀)
2023.03.22. ~ 2023.03.24.,나노∙마이크로디그리 포기 신청,(주관부서 : 교무팀)
2023.03.27.,학기 1/4 기준일,학기 1/4 기준일
2023.04.14.,4.19혁명 기념 동국인 등산대회,(주관부서 : 학생역량개발팀)
2023.04.17. ~ 2023.04.21.,1학기 중간시험,1학기 중간시험
2023.04.17. ~ 2023.04.21.,전공미결정 학부생 전공신청,(주관부서 : 교무팀)
2023.04.22.,학기 1/2 기준일,학기 1/2 기준일
2023.05.02. ~ 2023.05.03.,WISE캠퍼스 정규학기 학점교류 신청,(주관부서 : WISE캠퍼스/교무팀)
2023.05.08.,개교기념일,개교기념일
2023.05.15. ~ 2023.05.26.,재입학 신청,(주관부서 : 교무팀/일반대학원)
2023.05.17. ~ 2023.05.19.,여름 계절학기 수강신청,(주관부서 : 교무팀)
2023.05.18.,학기 3/4 기준일,학기 3/4 기준일
2023.05.22. ~ 2023.06.09.,2023년 가을 졸업대상자 졸업논문 제출,(주관부서 : 각 단과대학)
2023.05.27.,부처님 오신날,부처님 오신날
2023.06.01. ~ 2023.06.02.,대학원 외국어시험대체강좌 접수,(주관부서 : 일반대학원)
2023.06.01. ~ 2023.06.07.,졸업연기 신청,(주관부서 : 교무팀)
2023.06.01. ~ 2023.06.07.,전과(전공변경) 신청,(주관부서 : 교무팀)
2023.06.01. ~ 2023.06.07.,교직복수(연계)전공 신청,(주관부서 : 사범대학 교직부)
2023.06.01. ~ 2023.06.23.,복수∙연계∙융합전공 신청,(주관부서 : 교무팀)
2023.06.01. ~ 2023.06.23.,나노∙마이크로디그리 신청,(주관부서 : 교무팀)
2023.06.05. ~ 2023.06.09.,"2023-1 교육봉사 확인서, 응급처치및심폐소생술 타기관이수 확인서 제출",(주관부서 : 사범대학 교직부)
2023.06.07. ~ 2023.06.09.,취득교과목 학점포기 신청,(주관부서 : 교무팀)
2023.06.07. ~ 2023.06.23.,"2023-2학기 교내장학신청(복지,새터민,국가유공자,종단추천)",(주관부서 : 장학팀)
2023.06.08. ~ 2023.06.14.,1학기 기말시험,1학기 기말시험
2023.06.14.,종강,종강
2023.06.15. ~ 2023.06.21.,2023-1학기 보강 시행기간,2023-1학기 보강 시행기간
2023.06.22. ~ 2023.06.26.,"1학기 성적처리(공시,정정)",(주관부서 : 담당교원)
2023.06.22. ~ 2023.07.12.,여름 계절학기,(주관부서 : 교무팀)
2023.06.22. ~ 2023.08.31.,여름방학,여름방학
2023.06.26. ~ 2023.06.30.,2023-2학기 학·석사연계과정 신청,(주관부서 : 일반대학원)
2023.06.26. ~ 2023.06.30.,2학기 복학 신청(1차),(주관부서 : 교무팀/일반대학원)
2023.07.07.,2023년 가을 졸업대상자 영어성적 제출마감,(주관부서 : 교양외국어센터)
2023.07.07.,최종제본논문 제출마감일,(주관부서 : 일반대학원)
2023.07.17. ~ 2023.07.21.,2학기 복학 신청(2차),(주관부서 : 교무팀/일반대학원)
2023.07.17. ~ 2023.07.21.,2학기 휴학 신청(1차),(주관부서 : 교무팀/일반대학원)
2023.07.31. ~ 2023.08.04.,종합시험 및 제2외국어시험 접수,(주관부서 : 일반대학원)
2023.08.04. ~ 2023.08.09.,2학기 대학원 수강신청,(주관부서 : 일반대학원)
2023.08.07. ~ 2023.08.11.,2학기 학부 수강 신청,(주관부서 : 교무팀)
2023.08.10.,일반대학원 신입생 오리엔테이션,(주관부서 : 일반대학원)
2023.08.10. ~ 2023.08.13.,일반대학원 신입생 수강신청,(주관부서 : 일반대학원)
2023.08.11. ~ 2023.08.15.,교원자격 무시험검정원서 신청,(주관부서 : 사범대학 교직부)
2023.08.14. ~ 2023.08.18.,"대학원 외국어(영어, 한국어)시험 접수",(주관부서 : 일반대학원)
2023.08.22. ~ 2023.08.28.,2학기 등록,(주관부서 : 재무팀)
2023.08.24.,2023년 가을 학위수여식(서울캠퍼스),(주관부서 : 교무팀)
2023.08.24.,졸업생 교원자격증 발급,(주관부서 : 사범대학 교직부)
2023.08.25.,2023년 가을 학위수여식(WISE캠퍼스),(주관부서 : WISE캠퍼스)
2023.09.01.,개강,(주관부서 : 각 학과별)
2023.09.01. ~ 2023.09.07.,수강신청 확인 및 정정,(주관부서 : 일반대학원)
2023.09.02.,"대학원 외국어(영어, 한국어)시험일",(주관부서 : 일반대학원)
2023.09.04. ~ 2023.09.07.,수강신청 확인 및 정정,(주관부서 : 교무팀)
2023.09.05. ~ 2023.09.07.,2023-2학기 휴학 신청(2차),(주관부서 : 교무팀/일반대학원)
2023.09.13. ~ 2023.09.15.,취득교과목 학점포기 신청,(주관부서 : 교무팀)
2023.09.18. ~ 2023.09.20.,대학원 학위청구논문 초록신청,(주관부서 : 일반대학원)
2023.09.20. ~ 2023.09.22.,2023-2학기 휴학 신청(3차),(주관부서 : 교무팀/일반대학원)
2023.09.20. ~ 2023.09.22.,수강신청교과목 취소,(주관부서 : 교무팀)
2023.09.25. ~ 2023.09.27.,2024-1학기 학교현장실습 협력학교 신청,(주관부서 : 사범대학 교직부)
2023.09.25. ~ 2023.09.27.,조기졸업 신청,(주관부서 : 교무팀)
2023.09.25. ~ 2023.09.27.,나노∙마이크로디그리 포기 신청,(주관부서 : 교무팀)
2023.09.25. ~ 2023.09.27.,교직복수(연계)전공 포기 신청,(주관부서 : 사범대학 교직부)
2023.09.25. ~ 2023.09.27.,복수∙연계∙융합전공 포기 신청,(주관부서 : 교무팀)
2023.09.26.,학기 1/4 기준일,학기 1/4 기준일
2023.10.04. ~ 2023.12.08.,2024-1학기 학교현장실습 동의서 제출,(주관부서 : 사범대학 교직부)
2023.10.22.,학기 1/2 기준일,학기 1/2 기준일
2023.10.23. ~ 2023.10.27.,2학기 중간시험,2학기 중간시험
2023.10.23. ~ 2023.10.27.,전공미결정 학부생 전공신청,(주관부서 : 교무팀)
2023.10.26. ~ 2023.10.27.,WISE캠퍼스 정규학기 학점교류 신청,(주관부서 : WISE캠퍼스/교무팀)
2023.11.13. ~ 2023.11.24.,재입학 신청,(주관부서 : 교무팀/일반대학원)
2023.11.15. ~ 2023.11.17.,겨울 계절학기 수강신청,(주관부서 : 교무팀)
2023.11.17.,학기 3/4 기준일,학기 3/4 기준일
2023.11.20. ~ 2023.12.08.,2024년 봄 졸업대상자 졸업논문 제출,(주관부서 : 각 단과대학)
2023.11.29. ~ 2023.11.30.,대학원 외국어시험대체강좌 접수,(주관부서 : 일반대학원)
2023.11.29. ~ 2023.12.01.,졸업연기 신청,(주관부서 : 교무팀)
2023.11.29. ~ 2023.12.01.,교직복수(연계)전공 신청,(주관부서 : 사범대학 교직부)
2023.11.29. ~ 2023.12.01.,전과(전공변경) 신청,(주관부서 : 교무팀)
2023.11.29. ~ 2023.12.15.,나노∙마이크로디그리 신청,(주관부서 : 교무팀)
2023.11.29. ~ 2023.12.15.,복수∙연계∙융합전공 신청,(주관부서 : 교무팀)
2023.12.01. ~ 2023.12.21.,2학기 성적처리(입력),(주관부서 : 담당교원)
2023.12.04. ~ 2023.12.08.,"2023-2 교육봉사 확인서, 응급처치및심폐소생술 타기관이수 확인서 제출",(주관부서 : 사범대학 교직부)
2023.12.04. ~ 2023.12.22.,"2024-1학기 교내장학신청(복지,새터민,국가유공자,종단추천)",(주관부서 : 장학팀)
2023.12.06. ~ 2023.12.08.,취득교과목 학점포기 신청,(주관부서 : 교무팀)
2023.12.08. ~ 2023.12.14.,2학기 기말시험,2학기 기말시험
2023.12.14.,종강,종강
2023.12.15. ~ 2023.12.21.,2023-2학기 보강 시행기간,2023-2학기 보강 시행기간
2023.12.22. ~ 2023.12.27.,"2학기 성적처리(공시,정정)",(주관부서 : 담당교원)
2023.12.22. ~ 2024.01.15.,겨울 계절학기,(주관부서 : 교무팀)
2023.12.22. ~ 2024.02.29.,겨울 방학,겨울 방학
2023.12.26. ~ 2023.12.29.,2024-1학기 학·석사연계과정 신청,(주관부서 : 일반대학원)
2024.01.02. ~ 2024.01.05.,2024-1학기 복학 신청(1차),(주관부서 :교무팀/일반대학원)
2024.01.05.,최종제본논문 제출마감일,(주관부서 : 일반대학원)
2024.01.05.,2024년 봄 졸업대상자 영어성적 제출 마감,(주관부서 : 교양외국어센터)
2024.01.15. ~ 2024.01.19.,2024-1학기 휴학 신청(1차),(주관부서 : 교무팀/일반대학원)
2024.01.15. ~ 2024.01.19.,2024-1학기 복학 신청(2차),(주관부서 : 교무팀/일반대학원)
2024.01.29. ~ 2024.02.02.,종합시험 및 제2외국어시험 접수,(주관부서 : 일반대학원)
2024.02.01. ~ 2024.02.04.,교원자격 무시험검정원서 신청,(주관부서 : 사범대학 교직부)
2024.02.05. ~ 2024.02.12.,2024-1학기 학부 수강 신청,(주관부서 : 교무팀)
2024.02.09. ~ 2024.02.14.,2024-1학기 대학원 수강 신청,(주관부서 : 일반대학원)
2024.02.12. ~ 2024.02.16.,"대학원 외국어(영어, 한국어)시험 접수",(주관부서 :일반대학원)
2024.02.15.,졸업생 교원자격증 발급,(주관부서 : 사범대학 교직부)
2024.02.15.,2024년 봄 학위수여식(WISE캠퍼스),(주관부서 : WISE캠퍼스)
2024.02.16.,일반대학원 신입생 오리엔테이션,(주관부서 : 일반대학원)
2024.02.16.,2024년 봄 학위수여식(서울캠퍼스),(주관부서 : 교무팀)
2024.02.16. ~ 2024.02.19.,일반대학원 신입생 수강신청,(주관부서 : 일반대학원)
2024.02.20. ~ 2024.02.26.,2024-1학기 등록,(주관부서 : 재무팀)
2024.02.22.,2024학년도 입학식(WISE캠퍼스),(주관부서 : WISE캠퍼스)
2024.02.23.,2024학년도 입학식(서울캠퍼스),(주관부서 : 교무팀)
